API Name,Purpose/Description,Documentation Link,CORS Support
Lorem Picsum,"提供随机图片占位符服务，从 Unsplash 获取随机照片，可指定分辨率",https://picsum.photos,未知
PlaceKitten,"返回指定尺寸的猫咪照片占位图，用于网页设计测试",https://placekitten.com,是
PlaceDog,"提供不同尺寸的狗狗图片占位符",https://place.dog,是
PlaceBear,"生成指定大小的熊熊主题占位图",https://placebear.com,是
PlaceKeanu,"返回 Keanu Reeves 的占位图片，可调节灰度和年龄选项",https://placekeanu.com,未知
BaconMockup,"提供培根图片占位符，可指定宽高",https://baconmockup.com,是
Biriyani as a Service,"获取一张印度菜“鸡油饭(Biriyani)”的照片，占位用途",https://biriyani.anoram.com,否
Coffee API,"随机返回咖啡饮品照片",https://coffee.alexflipnote.dev,未知
Cat as a Service (Cataas),"提供各种猫咪图片的生成和加工，例如加字幕等",https://cataas.com,未知
HTTP Cat,"返回对应 HTTP 状态码的猫咪表情图片",https://http.cat,是
HTTP Dog,"返回对应 HTTP 状态码的汪星人表情图片",https://http.dog,是
Dog API (dog.ceo),"基于斯坦福狗狗数据集的开放接口，提供随机狗照片和按品种查询等",https://dog.ceo/dog-api,是
RandomFox,"返回随机狐狸图片",https://randomfox.ca,否
RandomDuck,"返回随机鸭子图片",https://random-d.uk,否
Shibe.online,"提供随机柴犬、猫咪或鸟类图片",http://shibe.online/api,是
Waifu.pics,"提供二次元动漫人物图片，可以按类型（如老婆/情侣）获取，无需鉴权",https://waifu.pics/docs,否
Waifu.im,"获取动漫角色美女图片，包含标签过滤等，适合二次元项目",https://waifu.im/docs,是
Meme Maker,"创建自定义表情包的 API，可提供文字和选择模板图片来生成新 Meme",http://mememaker.github.io,未知
Imgflip API,"获取热门 Meme 模板列表及生成 Meme 图片（无需登录获取模板列表，生成图片需要账号）",https://api.imgflip.com,未知
QuickChart,"在线生成图表或二维码等图形的 API，可通过查询参数生成 PNG/SVG 图像",https://quickchart.io,是
Colormind,"AI 配色方案生成器，提供随机或指定输入的颜色搭配方案",http://colormind.io/api-access,未知
ColourLovers,"获取社区共享的颜色配色和图案等设计素材",https://www.colourlovers.com/api,未知
ReSmush.it,"免费的图片优化压缩 API，上传图像即可获取优化后的版本",https://resmush.it/api,未知
Screenshotlayer,"将网页 URL 转换为截图图片的服务，可用于网页缩略图生成",https://screenshotlayer.com,未知
Imsea Image Search,"简单的图片搜索 API，返回查询关键词的图片列表",https://imsea.herokuapp.com,未知
Trace.moe,"通过动漫截图搜索出处的 API，上传图片即可识别出自哪部动画",https://soruly.github.io/trace.moe-api,否
Art Institute of Chicago API,"芝加哥艺术博物馆开放接口，提供馆藏艺术品的数据和高清图像",https://api.artic.edu/docs,是
Metropolitan Museum of Art API,"大都会艺术博物馆公开接口，可获取馆藏艺术品信息和图片",https://metmuseum.github.io,否
EmojiHub,"按照类别获取 Emoji 列表的 API，可用于表情符号相关应用",https://github.com/cheatsnake/emojihub,是
Icon Horse,"通过网站 URL 获取该站点的 Favicon 图标（PNG/SVG），便于生成链接预览",https://icon.horse,是
Xeno-canto,"鸟类叫声开放数据库，提供按物种搜索鸟鸣音频和元数据的 API",https://xeno-canto.org/explore/api,未知
Lyrics.ovh,"简单的歌词查询接口，提供根据歌曲和艺人名称获取歌词的功能",https://lyricsovh.docs.apiary.io,未知
MusicBrainz,"开源音乐元数据数据库 API，可查询艺人、专辑、歌曲等信息",https://musicbrainz.org/doc/Development/XML_Web_Service/Version_2,未知
Radio Browser,"全球网络电台数据库 API，可查询电台列表、分类等",http://api.radio-browser.info,是
Songsterr,"提供吉他、贝斯和鼓的乐谱段谱信息查询API，无需认证",https://www.songsterr.com/a/wa/api,未知
iTunes Search,"苹果官方的媒体搜索 API，无需鉴权即可搜索歌曲、应用等",https://affiliate.itunes.apple.com/resources/documentation/itunes-store-web-service-search-api,未知
Cover Art Archive,"音乐封面开放存储库 API，可通过音乐Brainz ID获取专辑封面图像",https://coverartarchive.org/api,未知
SimSimi 聊天机器人,"与 SimSimi 聊天机器人的接口，可发送聊天文本并获得 SimSimi 的回复，支持多语言 (API SIMSIMI FREE)",https://api.simsimi.vn,未知
YesNo 随机应答,"简易的二元回答 API，每次调用随机返回“Yes”或“No”以及相关GIF动态图，模拟掷硬币式的决定",https://yesno.wtf/api,未知
FOAAS (Fuck Off As A Service),"恶搞用的“问候”语句生成接口，可以生成各种带有冒犯性词汇的短语句子，用于娱乐或测试文本处理",https://www.foaas.com,未知
DeepCode,"代码审查的 AI 工具，可通过 API 对代码片段进行静态分析，发现潜在漏洞和错误",https://www.deepcode.ai,未知
EXUDE,"文本数据预处理 API，可进行停用词过滤、词干提取等操作",https://uttesh.com/exude-api,是
OpenVisionAPI,"基于多种开源模型的计算机视觉 API，支持目标检测、人脸识别等多种视觉任务",https://openvisionapi-documentation.readthedocs.io,否
Text-Processing.com,"提供一系列 NLP 功能的免费接口，包括情感分析、分词、命名实体识别等，无需认证",https://text-processing.com/docs,未知
LibreTranslate,"开源的机器翻译 API，支持多种语言互译，无需使用谷歌或Azure等服务（可自托管）",https://libretranslate.com/docs,是
AI Horde (Stable Horde),"分布式协作的大模型推理平台，提供文本生成和图像生成接口。无需个人API Key，可匿名使用（不提供API Key则作为低优先级匿名用户）",https://stablehorde.net,是
ConceptNet,"常识知识图谱的开放 API，可查询词语之间的语义关系，用于语义理解和推理",https://conceptnet.io/api,未知
Cat Facts,"随机猫咪冷知识，每次请求返回一条猫的趣味小知识",https://catfact.ninja,未知
Dog Facts,"随机狗狗趣闻，提供关于狗的有趣事实",https://dog-api.kinduff.com/api/facts,是
Bored API,"提供随机的消遣活动建议，帮你在无聊时找到事情做",https://www.boredapi.com,否
Official Joke API,"提供随机笑话（支持编程类笑话等分类），返回包含笑话和答案的JSON",https://official-joke-api.appspot.com/jokes,未知
Icanhazdadjoke,"著名的爹味冷笑话库，返回随机一条简短笑话",https://icanhazdadjoke.com/api,未知
Advice Slip,"随机人生建议生成，每次调用返回一条人生箴言或建议",https://api.adviceslip.com,未知
Useless Facts,"返回一条没什么用的冷知识趣闻，可以增添谈资",https://uselessfacts.jsph.pl,未知
Kanye.rest,"随机获取侃爷（Kanye West）的名人金句名言，用于娱乐",https://kanye.rest,是
Quotable Quotes,"开源的引言名人名言库 API，可按主题或作者检索引用语录",https://quotable.io,未知
Numbers API,"数字趣闻接口，提供关于任何数字的数学、日期历史等 trivia 信息",http://numbersapi.com,否
Agify.io,"根据姓名猜测年龄的API，会返回预测的年龄及置信度",https://agify.io,未知
Genderize.io,"根据姓名猜测性别及概率的服务，可用于有趣的用户统计",https://genderize.io,未知
Nationalize.io,"根据姓名预测国籍的接口，返回可能的国家及概率",https://nationalize.io,未知
Deck of Cards API,"在线扑克牌模拟洗牌和抽牌的接口，可用于游戏开发",https://deckofcardsapi.com,未知
Random User,"生成随机用户资料（姓名、头像、邮箱等）的 API，方便前端测试",https://randomuser.me,未知
PokeAPI,"宝可梦（Pokemon）系列游戏资料接口，可获取宝可梦图鉴、技能等丰富数据",https://pokeapi.co,未知
Open Trivia DB,"开放的趣味问答题库，提供各种主题的问答题目，适合做问答小游戏",https://opentdb.com/api_config.php,未知
D&D 5e API,"龙与地下城第五版规则内容接口，提供怪物、魔法等游戏数据",https://www.dnd5eapi.co/docs,未知
An API of Ice and Fire,"冰与火之歌（权力的游戏）系列世界信息API，提供角色、书籍等资料",https://anapioficeandfire.com/api,未知
Breaking Bad API,"《绝命毒师》电视剧的角色和名言API，可获取角色信息及剧中名句",https://breakingbadapi.com,未知
Tronald Dump,"包含唐纳德·特朗普语录的搜索接口，可以随机获取特朗普的引语",https://www.tronalddump.io,未知
Evil Insult Generator,"恶毒侮辱语句生成器，每次请求返回一句随机的戏谑性侮辱语",https://evilinsult.com/api,未知
SpaceX API,"SpaceX 公司火箭发射相关公开数据接口，可查询公司信息、发射记录等",https://github.com/r-spacex/SpaceX-API,未知
Open Notify (ISS),"国际空间站公共数据接口，可获取当前在站宇航员名单、空间站实时位置等",http://open-notify.org/Open-Notify-API,否
Open-Meteo,"开源气象预报 API，无需密钥即可获取全球任意地点的天气预报数据",https://open-meteo.com,是
IP-API,"根据 IP 地址查询地理位置等信息的接口，免费且无需鉴权",https://ip-api.com/docs,未知
Microlink,"通用网页预览提取 API，输入网址可提取页面的结构化数据（如标题、描述、图片）",https://docs.microlink.io/api/overview,是
DuckDuckGo Instant Answer,"DuckDuckGo 搜索的即时答案API，提供快速问答和零点击信息（如定义、计算结果）",https://duckduckgo.com/api,未知
CoinGecko API,"加密货币行情与市场数据接口，无需认证即可获取比特币等加密币的价格、走势图等",https://www.coingecko.com/en/api/documentation,未知
Frankfurter API,"免费的外汇汇率接口，提供各主要货币的实时和历史汇率，无需API密钥",https://www.frankfurter.app/docs,未知
Teleport API,"城市生活质量指数和各类城市数据的接口，可比较城市排名、获取城市信息",https://developers.teleport.org,未知
University Domains List,"提供全球大学域名和基本信息的 API，可按国家查询高校列表",https://github.com/Hipo/university-domains-list,未知
Open Library API,"开放图书馆的接口，可按ISBN、书名等查询书籍信息、封面、作者简介等",https://openlibrary.org/developers/api,未知
Jikan API,"MyAnimeList非官方开放接口，提供动漫、漫画及人物信息查询，无需授权",https://jikan.moe,是
Studio Ghibli API,"吉卜力工作室动画电影信息接口，提供电影、角色、场景等数据",https://ghibliapi.herokuapp.com,是
Gaana API（非官方）,"印度 Gaana 音乐服务的第三方开放接口，可根据歌曲ID获取歌曲信息、专辑元数据等",https://github.com/cyberboysumanjay/GaanaAPI,未知
JioSaavn API（非官方）,"印度 JioSaavn 音乐平台第三方接口，可查询歌曲、专辑信息和下载链接等",https://saavn.dev,未知
Balldontlie,"NBA篮球公开数据接口，可以获取比赛结果、球员统计、球队信息等，无需认证",https://www.balldontlie.io,未知
FunTranslations,"趣味文本翻译 API，提供各种俏皮翻译（如燕尾侠、粤语、莎士比亚风格等），免费调用无需密钥",https://funtranslations.com/api,未知
NASA APOD,"NASA每日天文一图(API)，返回当天的太空照片及说明文字。无需注册，可使用默认示例密钥调用",https://api.nasa.gov,未知
Urban Dictionary API,"Urban Dictionary（都市词典）的公开查询接口，提供俚语词汇的定义列表（非官方公开端点）","https://api.urbandictionary.com/v0/define?term={word}",未知
Newton API,"强大的数学表达式求解微服务，支持算术运算、方程求解、微分等功能",https://github.com/aunyks/newton-api,未知
Nominatim (OpenStreetMap),"开放街图地理编码 API，根据地址描述获取坐标或坐标逆查地址，无需密钥",https://nominatim.org/release-docs/latest/api/Overview,未知
Stack Exchange API,"Stack Overflow 等问答社区的公开API，可获取问答、用户等公共数据，无需密钥（匿名有调用配额限制）",https://api.stackexchange.com/docs,未知
GitHub REST API,"GitHub 平台的公开数据接口，可查询公共仓库、用户等信息，未授权状态下有次限流",https://docs.github.com/rest,未知
Wikipedia REST API,"维基百科的REST接口，可获取条目摘要、图片等信息，方便构建百科查询功能",https://en.wikipedia.org/api/rest_v1,是
Open Brewery DB,"开放精酿啤酒厂数据库接口，提供世界各地啤酒厂的地点和联系信息",https://www.openbrewerydb.org,未知
TVMaze API,"电视节目和影视剧集数据接口，可根据节目名称查询演员表、剧集列表等信息",https://www.tvmaze.com/api,未知
OpenAQ,"全球空气质量开放数据接口，提供各城市PM2.5等空气质量监测数据",https://docs.openaq.org,未知
Rick and Morty API,"包含《瑞克和莫蒂》动画中角色、集数等信息的开放接口，支持根据角色ID等查询",https://rickandmortyapi.com,未知
REST Countries,"国家和地区信息数据库 API，可获取国家的基本数据（首都、人口、国旗等）",https://restcountries.com,未知
JService,"Jeopardy（危险边缘）问答题库接口，提供该益智问答节目历史题目题库，可随机获取问答题",http://jservice.io,未知
WorldTimeAPI,"时区时间 API，根据时区名称或IP获取当前时间和时区信息，无需授权",http://worldtimeapi.org/api,未知